title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà riêng tại đường Tô Vĩnh Diện	pr42541781	60.0	4.5	12.8	0000	6	4		2	20.9996834868449	105.820895864678	Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà mặt phố tại đường Nguyễn Văn Lộc	pr42601790	88.0	4.4	21.5	0000	12	13	Đầy đủ	2	20.9852521274238	105.786215681308	Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Golden Park Tower	pr40942577	95.0	0.0	8.8	1100	3	2	Đầy đủ	2	21.0268173217773	105.787666320801	Dự án Golden Park Tower, Đường Phạm Văn Bạch, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại phường Dương Nội	pr42152743	50.0	4.5	9.1	0110	0	0		2	20.981732635516	105.745940804376	Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Gamuda Gardens	pr42076489	90.0	6.0	23.5	0000	5	5	Đầy đủ nội thất.	2	20.97011711721	105.872054456112	Gamuda Gardens, Pháp Vân, Yên Sở, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán đất tại đường Hồ Chí Minh	pr42576397	600.0	25.0	7.8	0010	0	0		2	20.8595831370056	105.635383693606	Đường Hồ Chí Minh, Xã Hoàng Văn Thụ, Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Nhà riêng tại đường Văn Phú	pr42589705	40.5	4.0	13.2	1001	0	0	Cơ bản	2	20.9623464706473	105.768556630579	Đường Văn Phú, Phường Quang Trung, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại phố Thái Thịnh	pr42582415	51.0	0.0	11.9	0000	4	3	Đầy đủ	2	21.010438679133	105.818860209413	Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Dương Quảng Hàm	pr41311958	161.0	6.0	20.0	0000	2	1		2	21.0350272181189	105.799759879248	Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Park Kiara	pr41141828	91.0	0.0	8.55	0000	3	2	Cơ bản	2	20.9673748016357	105.754013061523	Dự án Park Kiara, Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại xã Di Trạch	pr42598026	71.0	4.0	9.23	0000	0	0		2	21.0460089228688	105.719478903189	Xã Di Trạch, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại xã Tân Triều	pr42487424	43.0	0.0	10.9	0000	0	0		2	20.9726415591435	105.799457043526	Xã Tân Triều, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Căn hộ chung cư tại Vinhomes West Point	pr26567622	224.0	0.0	19.5	0000	4	0	Đầy đủ	2	21.0118827819824	105.786445617676	Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại đường Giải Phóng	pr42469856	94.0	5.3	15.0	0000	0	0		2	20.9836084755809	105.841274076159	Đường Giải Phóng, Phường Giáp Bát, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Kiến Hưng Luxury	pr42616338	68.0	0.0	19.8	0000	4	5	Đầy đủ	2	20.95238336041869	105.7856266533434	Dự án Kiến Hưng Luxury, Phường Kiến Hưng, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại đường Giang Văn Minh	pr42593504	24.0	4.2	17.5	0000	4	4	Đầy đủ	2	21.0320132252062	105.826967238681	Đường Giang Văn Minh, Phường Kim Mã, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường Kim Giang	pr42455045	40.0	4.0	8.75	0000	0	0	Đầy đủ.	2	20.9790835595346	105.821016296793	Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Shophouse, nhà phố thương mại tại Roman Plaza	pr42141225	744.0	7.0	29.76	1001	11	6	Không nội thất	2	20.98414474058931	105.77716220353936	Dự án Roman Plaza, Đường Tố Hữu, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Trường Chinh	pr41827127	69.0	0.0	13.8	0000	4	4		2	20.9986509871809	105.837977710587	102, Đường Trường Chinh, Phường Phương Mai, Đống Đa, Hà Nội	Đống Đa	Hà Nội
